id,code_1c,article,name,brand,остаток,категория
41345,00017768,,"Номерок гардеробный 40х60мм,белый 1-300",,300.000,"Хозтовары, сад, огород"
40886,00012150,83713,Мешок полипропиленовый 55х105 см БЕЛЫЙ,,118.000,"Хозтовары, сад, огород"
40885,00002305,83711,Мешок полипропилен зеленый,,108.000,"Хозтовары, сад, огород"
31069,374673,10120,Прокладка РЕДИУС 19мм полиамид для БПО,,100.000,Сварочное оборудование
31070,374674,10121,Прокладка РЕДИУС 23мм полиамид для БКО,,100.000,Сварочное оборудование
6680,375208,105-106100М,Шланг топливный прозрачный 6мм морозостойкий,,100.000,ЭХО
6679,375209,105-104100М,Шланг топливный прозрачный 4мм морозостойкий,,70.000,ЭХО
6772,00033093,C-6002,Запускной канат 3.5 MM СHAMPION (бухта 100 м),,53.300,Запчасти к инструменту
18812,00010274,73/8/3/2,"Масло д/2-х такт. двигателей полусент. 1,0 л Huter",HUTER,30.000,Масла
18831,0110000078,OC0101,"Масло для смазки цепей 0,946л STURM G-Energy Universal",STURM,29.000,Масла
18814,00010087,73/8/1/1,"Масло д/4-х такт. двиг, 1л  10W40 полусент. Huter",HUTER,26.000,Масла
40910,00007118,РСВ-36178,Мотыга прямая большая 190пр,,20.000,"Хозтовары, сад, огород"
8943,00006801,97116,Наконечник медный E-Cu m6х25х0.8,,20.000,Запчасти Hitachi
8944,00045987,97117,"Наконечник медный E-Cu m6х25х1,0",,20.000,Запчасти Hitachi
42162,00044050,1211-25,Скотч малярный креповый 25мм х 40м STAYER,STAYER,17.000,"Хозтовары, сад, огород"
15961,00035326,,"Кольцо переходное 22,23х20 для дисков",,16.000,На модерацию
23868,00044082,WTS001,Дозатор флюса для пайки WTS,,15.000,Электрика и освещение
7213,00033456,71/2/27,Свеча зажигания 2Т L7T Huter,HUTER,12.000,Запчасти к инструменту
23767,00026547,55115-B,"Вилка электрическая СИБИН  ударопрочная, с заземле",СИБИН,11.000,Электрика и освещение
7239,00042796,71/2/39,Стартер в сборе для GGT-1000T/S-2500 T/S легкий старт,,11.000,Запчасти к инструменту
41959,00008522,38-2-132,Рукоятка для молотков деревянная 320 мм,,10.000,"Хозтовары, сад, огород"
41961,00008523,38-2-140,Рукоятка для молотков деревянная 400 мм,,10.000,"Хозтовары, сад, огород"
7214,00033457,71/2/28,Свеча зажигания 4Т F7RTC Huter,HUTER,10.000,Запчасти к инструменту
42161,00044049,1211-19,Скотч малярный креповый 19мм х 40м STAYER,STAYER,10.000,"Хозтовары, сад, огород"
30443,00045023,WD300,"Смазка универсальная WD-40, 300мл",,10.000,Прочее
42854,00029871,12371-25-040,"Фумлента ЗУБР ""ЭКСПЕРТ"", плотность 0,40 г/см3, 0,2ммх25ммх15м",ЗУБР,10.000,"Хозтовары, сад, огород"
15898,00006653,2-06411-030,Шнур  30 м для стр.работ на катушке,,10.000,"Крепёж, канат, верёвка"
15970,00017820,,Кольцо переходное 32х20 для дисков,,9.000,На модерацию
18865,0110000079,SMT-0101A,Масло трансмиссионное 1л STURM SAE 80W-85,STURM,9.000,Масла
43394,00037542,39193-40,Щетка уличная 40см GRINDA с метал держателем для черенка 25мм,GRINDA,9.000,"Хозтовары, сад, огород"
15962,00017815,,"Кольцо переходное 25,4х20 для дисков",,8.000,На модерацию
15969,00017819,,"Кольцо переходное 30х25,4 для дисков",,8.000,На модерацию
40622,00035563,12242-75-200,Лента сигнальная  75мм х 200м  черно-желтая ЗУБР Мастер,ЗУБР,8.000,"Хозтовары, сад, огород"
42282,00007949,4244-55106В,Соединитель RACO (шланг-насадка) латунный и покрыт (арт. 4244-55106В),,8.000,"Хозтовары, сад, огород"
43418,00039574,61061-110,"Щетка-сметка АВТО 810-1060мм ЗУБР телескопическая, поворотная, со скребком",ЗУБР,8.000,"Хозтовары, сад, огород"
15971,00017821,,"Кольцо переходное 32х22,2 для дисков",,7.000,На модерацию
14943,00002229,,Коуш д/стальных канатов 6х7мм,,7.000,Метизы
40620,00045581,12241-75-150,"Лента сигнальная  75мм х 150м  красно-белый,  STAYER",STAYER,7.000,"Хозтовары, сад, огород"
42855,00045393,12373-12-040,"Фумлента ЗУБР плотность 0,40 г/см3, 0,1ммх12ммх15м",ЗУБР,7.000,"Хозтовары, сад, огород"
6744,00034555,71/1/13,Головка триммерная с леской ETH-1000 для GGT.GET1000S,,6.000,Запчасти к инструменту
7238,00012080,71/2/20,Стартер в сборе для GGT-1000T/S-2500 T/S,,6.000,Запчасти к инструменту
30702,00045558,429768,Газ для зажигалок 260мл,,5.000,Сварочное оборудование
6743,00004434,71/2/25,Головка триммерная с леской EASY LOAD для GGT.GET-1200. 1500. 1700,,5.000,Запчасти к инструменту
18803,00045555,41501-1,"Масло д/2-х такт. двигателей 1,0л KRAFTOOL синтетическое",KRAFTOOL,5.000,Масла
24615,00042641,nhvi-1.5-8,"Наконечник штыревой втулочный изолированный НШвИ 1,5-8 (50шт) EKF",,5.000,Электрика и освещение
24618,00042643,nhvi-2.5-8,Наконечник штыревой втулочный изолированный НШвИ 2.5-8 (50шт) EKF,,5.000,Электрика и освещение
24669,00044084,,"Паяльная ванна ZTX-B 160Вт, 100-550гр",,5.000,Электрика и освещение
24869,00040380,SV-55325-015,"Припой ПОС-30 1мм, 15гр, трубка с флюсом СВЕТОЗАР",,5.000,Сварочное оборудование
42163,00044051,1211-30,Скотч малярный креповый 30мм х 40м STAYER,STAYER,5.000,"Хозтовары, сад, огород"
7236,00010557,71/11/3,Стартер в сборе для DY5000L-DY8000L/LX,,5.000,Запчасти к инструменту
25462,00044083,,Удалитель флюса 100мл,,5.000,Электрика и освещение
43409,00013720,01-04-01,Щетка-сметка 3-х рядная деревянная 300х22х15мм,,5.000,"Хозтовары, сад, огород"
43399,00037546,39250-600,Щетка уличная 60см GRINDA с пластик держателем для черенка 25мм,GRINDA,5.000,"Хозтовары, сад, огород"
8562,00025987,338845*,Кожух защитный для диска УШМ 125 338845,,4.000,На модерацию
15966,00017817,,Кольцо переходное 30х20 для дисков,,4.000,На модерацию
15973,00017823,,Кольцо переходное 32х30 для дисков,,4.000,На модерацию
40574,00019343,12231-25-05,Лента клеящая двухсторонняя монтажная на вспенен основе 25ммх5м STAYER,STAYER,4.000,"Хозтовары, сад, огород"
18843,00010086,73/8/2/1,Масло для смазки цепи Huter 1л минеральное 80W90,HUTER,4.000,Масла
24575,00013575,29-0101,Набор термоусадочных трубок №1 (АВТО) Rexant,REXANT,4.000,Электрика и освещение
24587,00013579,29-0106,Набор термоусадочных трубок №6 (МАКСИМУМ) Rexant,REXANT,4.000,Электрика и освещение
24617,00042642,nhvi-10.0-12,Наконечник штыревой втулочный изолированный НШвИ 10.0-12 (50шт) EKF,,4.000,Электрика и освещение
24614,00042640,nhvi-1.0-8,"Наконечник штыревой втулочный изолированный НШвИ 1,0-8 (50шт) EKF",,4.000,Электрика и освещение
24619,00042644,nhvi-4.0-12,Наконечник штыревой втулочный изолированный НШвИ 4.0-12 (50шт) EKF,,4.000,Электрика и освещение
24620,00042645,nhvi-6.0-18,Наконечник штыревой втулочный изолированный НШвИ 6.0-18 (50шт) EKF,,4.000,Электрика и освещение
11260,00003541,,Рейка для лазерных нивелиров LR-2,,4.000,Измерительный инструмент
42013,00038641,РСВ-271047,"Салфетки ""Радуга"" 100 листов, 24см х 24 см, ГОЛУБЫЕ с тиснением,100 % целлюлоза, 1 слой,",,4.000,"Хозтовары, сад, огород"
42134,00043963,,"Скамья со спинкой и вешалкой CКП-1В-1500, 1670х1500х390",,4.000,"Хозтовары, сад, огород"
7235,00010556,71/11/2,Стартер в сборе для DY2500L-DY4000L/LX,,4.000,Запчасти к инструменту
42853,00025846,12371-19-040,"Фумлента ЗУБР ""ЭКСПЕРТ"", плотность 0,40 г/см3, 0,2ммх19ммх15м",ЗУБР,4.000,"Хозтовары, сад, огород"
6683,00038929,792-131,Адаптер для подключения пылесоса резиновый 32/35/38/41мм ПУЛЬСАР,,3.000,Запчасти к инструменту
39160,00040322,06092-12,Ведро 12л. пластиковое малярное прямоугольное STAYER,STAYER,3.000,На модерацию
39907,00029497,C1204,Канистра  5л с защитой от перелива CHAMPION,CHAMPION,3.000,На модерацию
15968,00017818,,"Кольцо переходное 30х22,2 для дисков",,3.000,На модерацию
15972,00017822,,"Кольцо переходное 32х25,4 для дисков",,3.000,На модерацию
14945,00002230,,Коуш д/стальных канатов 9х10мм,,3.000,Метизы
