brand;run;page_ttfb;page_total;page_code;api_total;api_code
Makita;1;4.444097;7.145336;200;1.964281;200
Makita;2;3.062324;5.817547;200;2.095447;200
Bosch;1;3.146355;5.841829;200;1.989582;200
Bosch;2;2.987040;5.823824;200;2.567896;200
DeWALT;1;2.969068;4.502078;200;1.699741;200
DeWALT;2;4.323151;5.826726;200;1.744777;200
Metabo;1;3.302674;6.164816;200;2.680520;200
Metabo;2;3.217237;6.102211;200;2.164220;200
AEG;1;3.463557;4.464935;200;2.037692;200
AEG;2;2.916263;3.986498;200;2.173916;200
Milwaukee;1;3.911886;4.886605;200;1.447099;200
Milwaukee;2;2.634938;3.632702;200;1.297667;200
Hilti;1;2.607551;3.635177;200;1.254700;200
Hilti;2;2.589126;3.585034;200;1.299075;200
Stanley;1;3.011288;4.284458;200;1.931539;200
Stanley;2;3.657101;4.934736;200;1.673116;200
Ресанта;1;3.386316;6.004252;200;2.051152;200
Ресанта;2;3.127235;5.784796;200;2.030566;200
