=== str-valiki: все 122 ===
70   ← '70мм'         | Валик  70мм велюровый мини FIT
100  ← '100мм'        | Валик 100мм меховой FIT
100  ← '100х15мм'     | Валик 100х15мм СИНТЕКС ЗУБР мастер
100  ← '100х30мм'     | Валик 100х30мм СИНТЕКС малярный в сборе, бюгель 6 мм
150  ← '150мм'        | Валик 150мм меховой
150  ← '150мм'        | Валик 150мм Мольтопрен с рукояткой "Remocol
150  ← '150мм'        | Валик 150мм поролоноввый + 2 шубки желтый  FIT
150  ← '150мм'        | Валик 150мм прижимной резиновый FIT
150  ← '150мм'        | Валик 150мм СИНТЕКС ф15мм
150  ← '150х30мм'     | Валик 150х30мм СИНТЕКС малярный в сборе, бюгель 6 мм
70   ← '15х70мм'      | Валик 15х70мм СИНТЕКС малярный в сборе, бюгель 6 мм ворс 12 мм, полиакрил, все в
180  ← '180 мм'       | Валик 180 мм Мультиколор" с рук. Hobbi
180  ← '180мм'        | Валик 180мм поролоноввый + 2 шубки желтый  FIT
180  ← '180мм'        | Валик 180мм поролоновый выс плотности  FIT
180  ← '180мм'        | Валик 180мм поролоновый структурный горошек FIT
180  ← '180мм'        | Валик 180мм Синтекс с рукояткой "Remocolor"
180  ← '180х40 мм'    | Валик 180х40 мм. ЗУБР ОПТИМА-ВЕЛЮР
180  ← '180х40мм'     | Валик 180х40мм POLYTEX MIRAX
180  ← '180х48 мм'    | Валик 180х48 мм. ЗУБР ГИРПАИНТполиакрил, бюгель 8 мм, ворс 12 мм
180  ← '180х48мм'     | Валик 180х48мм СИНТЕКС, все виды ЛКМ полиэстр, ворс 18мм
180  ← '180х80мм'     | Валик 180х80мм для шпатлевки STAYER PUTTY
200  ← '200 мм'       | Валик 200 мм меховой  ось 6 мм
240  ← '240х40 мм'    | Валик 240х40 мм "Синтекс" с рукояткой, бюгель 6 мм STAYER МАСТЕР
240  ← '240х40 мм'    | Валик 240х40 мм. ЗУБР ГИРПАИНТ бюгель 6 мм, ворс 12 мм все виды ЛКМ
240  ← '240х40 мм'    | Валик 240х40 мм. ЗУБР ОПТИМА-ВЕЛЮР
240  ← '240х40 мм'    | Валик 240х40 мм. ЗУБР ОПТИМА-МИКРОТЕКС микрофибра
240  ← '240х40мм'     | Валик 240х40мм POLYTEX MIRAX
240  ← '240х40мм'     | Валик 240х40мм SYNTEX MIRAX
240  ← '240х48 мм'    | Валик 240х48 мм. ЗУБР ГИРПАИНТполиакрил, бюгель 8 мм, ворс 12 мм
240  ← '240х48мм'     | Валик 240х48мм SYNTEX STAYER, ворс 18мм, бюгель 8мм, все виды ЛКР, Profi
240  ← '240х48мм'     | Валик 240х48мм SYNTEX ПОЛИАКРИЛ в сборе, ворс 18мм, бюгель 8мм, STAYER Profi
240  ← '240х48мм'     | Валик 240х48мм СИНТЕКС, все виды ЛКМ полиэстр, ворс 18мм
240  ← '240х80мм'     | Валик 240х80мм для шпатлевки STAYER PUTTY
250  ← '250 мм'       | Валик 250 мм Мультиколор с рук. Hobbi
250  ← '250мм'        | Валик 250мм полиакрил СИНТЕКС
250  ← '250мм'        | Валик 250мм поролоновый ВП-250
400  ← '400х48мм'     | Валик 400х48мм малярный в сборе, полиамид, ворс 12мм,  STAYER Profi
150  ← '150 мм'       | Валик малярный "РАДУГА", 150 мм, d=40 мм, ворс 14
180  ← '180 мм'       | Валик малярный "РАДУГА", 180 мм, d=40 мм, ворс 14
90   ← '90 мм'        | Валик малярный "РАДУГА", 90 мм, d=44 мм, ворс 14 мм, ручка d=6 мм, ЗУБР Стандарт
100  ← '100х30мм'     | Валик малярный 100х30мм GIRPAINT ПОЛИАКРИЛ в сборе, ворс 10мм, бюгель 6мм,  STAY
180  ← '180х40мм'     | Валик малярный 180х40мм GIRPAINT ПОЛИАКРИЛ в сборе, ворс 12мм, бюгель 6мм,  STAY
70   ← '15х70мм'      | Валик мини GIRPAINT ПОЛИАКРИЛ 15х70мм малярный в сборе, ворс 10мм, бюгель 6мм,  
150  ← '150х44 мм'    | Валик поролон 150х44 мм, малярный в сборе, 6 мм STAYER
180  ← '180 мм'       | Валик поролон 180 мм, d=62 мм, ручка d=6 мм, ЗУБР Стандарт
180  ← '180х44 мм'    | Валик поролон 180х44 мм, малярный в сборе, 6 мм
240  ← '240 мм'       | Валик поролон 240 мм, d=62 мм, ручка d=6 мм, ЗУБР Стандарт
150  ← '150мм'        | Валик прижимной 150мм полиуретановый
150  ← '150х57мм'     | Валик прижимной 150х57мм, бюгель 8мм (20) БИБЕР
240  ← '240 мм'       | Валик фасадный  240 мм СИНТЕКС DEXX
60   ← '60 мм'        | Ролик  60 мм Синтекс
100  ← '100 мм'       | Ролик 100 мм Синтекс
150  ← '150 мм'       | Ролик 150 мм Нейлон
150  ← '150 мм'       | Ролик 150 мм Синтекс
180  ← '180 мм'       | Ролик 180 мм Гирпан
250  ← '250 мм'       | Ролик 250 мм Мультиколор
250  ← '250 мм'       | Ролик 250 мм Нейлон
250  ← '250 мм'       | Ролик 250 мм Премиум
200  ← '200мм'        | Ролик сменная для валика малярного "Поролон", 200мм
250  ← '250 мм'       | Ролик сменнный 250 мм для внутр. работ синтетическ
240  ← '240мм'        | Ролик сменный  VELUR 48, 240мм
100  ← '100 мм'       | Ролик сменный 100 мм, d=30 мм, ворс 10 мм, ручка d=6 мм, STAYER
180  ← '180 мм'       | Ролик сменный 180 мм, d=40 мм, ворс 12 мм, ручка d=6 мм, STAYER
180  ← '180 мм'       | Ролик сменный 180 мм, d=40 мм, ворс 18 мм, ручка d=6 мм, STAYER
240  ← '240 мм'       | Ролик сменный 240 мм, d=40 мм, ворс 18 мм, ручка d=6 мм, STAYER
150  ← '150мм'        | Ролик-мини  "Синтэкс", ось 6мм, D15мм, 150мм
250  ← '250 мм'       | Рукоятка для ролика 250 мм, 8мм
240  ← '240мм'        | Ручка  для валика, бюгель 8мм, 240мм STAYER "PROFI"
150  ← '150мм'        | Ручка  для валиков, бюгель 6мм, 150мм STAYER "MASTER"
180  ← '180мм'        | Ручка для валика 180мм ЗУБР бюгель 6мм
190  ← '190мм'        | Ручка для валика 190мм STAYER "MASTER"
230  ← '230мм'        | Ручка для валика 230мм, 180мм
280  ← '280мм'        | Ручка для валика 280мм STAYER "MASTER"
240  ← '240мм'        | Ручка для валиков, бюгель 6мм, 240мм STAYER "MASTER"
200  ← '200мм'        | Шубка меховая 200мм
250  ← '250мм'        | Шубка меховая 250мм
150  ← '150мм'        | Шубка поролоновая 150мм 2шт
150  ← '150мм'        | Шубка поролоновая 150мм высокой плотности 2шт
180  ← '180мм'        | Шубка поролоновая 180мм 2шт
180  ← '180мм'        | Шубка поролоновая 180мм высокой плотности 2шт
230  ← '230мм'        | Шубка поролоновая 230мм 2шт
230  ← '230мм'        | Шубка поролоновая 230мм высокой плотности 2шт
250  ← '250мм'        | яяВалик "Вестан" 250мм с рукояткой "Remocolor"
300  ← '300 мм'       | яяВалик "Гигант" 300 мм Профи
250  ← '250мм'        | яяВалик "Гирпаинт" 250мм с рукояткой "Remocolor"
250  ← '250мм'        | яяВалик "ГИРПАИНТ" 250ммх48мм полиакрил 12мм, ручк
250  ← '250мм'        | яяВалик "Нейлон" 250мм с рукояткой "Remocolor"
100  ← '100х30 мм'    | яяВалик "Синтекс" 100х30 мм с рукояткой, бюгель 6 мм STAYER МАСТЕР
240  ← '240х40 мм'    | яяВалик "Синтекс" 240х40 мм с рукояткой, бюгель 6 мм
250  ← '250мм'        | яяВалик "Синтекс" 250мм с рукояткой "Remocolor"
250  ← '250 мм'       | яяВалик "Синтекс" с двухкомп.руч., 250 мм, ворс.18мм
100  ← '100 мм'       | яяВалик 100 мм, d 42 мм, бюгель 6 мм, ворс 11 мм Gigant
100  ← '100мм'        | яяВалик 100мм Меховой ЯГНЕНОК
180  ← '180х60мм'     | яяВалик 180х60мм Н10 полиамид  (1шт) (50) БИБЕР
180  ← '180х76мм'     | яяВалик 180х76мм Н18 полиэстер  (1шт) (50) БИБЕР
230  ← '230х40мм'     | яяВалик 230х40мм  полиакрил. бюгель 6мм ворс 12мм
230  ← '230х47мм'     | яяВалик 230х47мм  полиакрил/шерсть бюгель 8 мм вор
230  ← '230х60мм'     | яяВалик 230х60мм Н10 полиамид  (1шт) (50) БИБЕР
240  ← '240мм'        | яяВалик 240мм ЭКСПЕРТ ПОЛИАКРИЛ
250  ← '250 мм'       | яяВалик 250 мм для внутр. работ синтетический, ворс
250  ← '250 мм'       | яяВалик 250 мм, "ИСКУСТВЕННЫЙ МЕХ" с ручкойворс 15 м
250  ← '250мм'        | яяВалик 250мм с натуральным мехом, с ручкой, ворс 12
200  ← '200мм'        | яяВалик малярный  48мм, 200мм "Поролон"
100  ← '100мм'        | яяВалик малярный Велюр 100мм ось 6мм, ф48мм
140  ← '140 мм'       | яяВалик меховой 140 мм ось 6 мм СИНТЕКС
150  ← '150 мм'       | яяВалик меховой 150 мм ось 6 мм
150  ← '150мм'        | яяВалик миди"Синтекс" 150мм с рукояткой
150  ← '150мм'        | яяВалик миди"Синтекс" 150мм с рукояткой "Remocolor"
100  ← '100мм'        | яяВалик мини "Велюр" 100мм с рукояткой "Remocolor"
100  ← '100мм'        | яяВалик мини "Гирпаинт" 100мм с рукояткой "Remocolor
150  ← '150мм'        | яяВалик мини "Гирпаинт" 150мм  ось 6мм д15 мм с рукояткой "Remocolor
150  ← '150мм'        | яяВалик мини "Гирпаинт" 150мм с рукояткой "Remocolor
100  ← '100мм'        | яяВалик мини "Мольтопрен" 100мм с рукояткой "Remocol
100  ← '100мм'        | яяВалик мини "Синтекс" 100мм с рукояткой "Remocolor"
70   ← '15х70мм'      | яяВалик мини "Синтекс" 15х70мм  с рукояткой, бюгель
110  ← '110мм'        | яяВалик мини 110мм
100  ← '100 мм'       | яяВалик мини Мультиколор 100 мм с рук.
100  ← '100 мм'       | яяВалик мини Элитколор 100 мм с рук.
150  ← '150 мм'       | яяВалик Мультиколор 150 мм с рук.
300  ← '300 мм'       | яяВалик пластиковый игольчатый "Мини" 300 мм РОССИЯ
110  ← '110мм'        | яяВалик-мини 110мм
190  ← '190мм'        | яяБюгель для мини-валика 6х90мм короткий 190мм (20
